表310-31001：本地生產總值、本地生產總值內含平減物價指數及按人口平均計算的本地生產總值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年,,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
季,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本地生產總值 - 以當時市價計算,百萬港元,308313,315423,333309,340295,304457,293356,323046,335810,313811,317077,333880,352181,327783,338730,363813,381799,355347,357109,382405,408491,381839,386249,423798,458870,418762,409388,436152,443186,389033,396706,421283,452223,422783,412768,456830,483951,463467,456607,495500,518856,483654,473958,523740,555707,509631,492375,551059,585240,535907,526194,580793,617111,572160,565750,614251,646119,590572,585155,636400,678471,631450,628300,679453,720408,684576,673782,723381,753690,702601,688922,714029,739470,654083,627597,687240,706873,705090,678833,730502,753548,684841,674662,717535,732062,720760,707502,768426,794640
本地生產總值 - 以當時市價計算,按年變動百分率,-3.3,-2.2,-1.1,-0.8,-1.3,-7,-3.1,-1.3,3.1,8.1,3.4,4.9,4.5,6.8,9,8.4,8.4,5.4,5.1,7,7.5,8.2,10.8,12.3,9.7,6,2.9,-3.4,-7.1,-3.1,-3.4,2,8.7,4,8.4,7,9.6,10.6,8.5,7.2,4.4,3.8,5.7,7.1,5.4,3.9,5.2,5.3,5.2,6.9,5.4,5.4,6.8,7.5,5.8,4.7,3.2,3.4,3.6,5,6.9,7.4,6.8,6.2,8.4,7.2,6.5,4.6,2.6,2.2,-1.3,-1.9,-6.9,-8.9,-3.8,-4.4,7.8,8.2,6.3,6.6,-2.9,-0.6,-1.8,-2.9,5.2,4.9,7.1,8.5
按人口平均計算的本地生產總值 - 以當時市價計算,港元,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
按人口平均計算的本地生產總值 - 以當時市價計算,按年變動百分率,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
本地生產總值 - 以2021年環比物量計算,百萬港元,375115,383849,411173,424153,389644,381688,427578,444106,420458,427972,457110,480420,447268,459223,495234,516184,487537,487259,526880,551113,516175,517331,562223,589769,552491,538047,567532,573935,509592,521498,557913,588115,549997,554762,594295,625404,591826,583057,617596,643895,596616,588811,628564,663809,617135,606918,647869,682728,635413,620280,668800,700726,650367,639452,684046,714040,657840,651002,699529,738007,687191,676182,723880,763380,718275,698832,742778,771903,720456,699359,718957,743984,653026,633452,689978,717630,706833,681502,728279,751359,678780,671650,692926,719054,698557,681656,721300,749710
本地生產總值 - 以2021年環比物量計算,按年變動百分率,-0.6,0.5,2.4,4.1,3.9,-0.6,4,4.7,7.9,12.1,6.9,8.2,6.4,7.3,8.3,7.4,9,6.1,6.4,6.8,5.9,6.2,6.7,7,7,4,0.9,-2.7,-7.8,-3.1,-1.7,2.5,7.9,6.4,6.5,6.3,7.6,5.1,3.9,3,0.8,1,1.8,3.1,3.4,3.1,3.1,2.9,3,2.2,3.2,2.6,2.4,3.1,2.3,1.9,1.1,1.8,2.3,3.4,4.5,3.9,3.5,3.4,4.5,3.3,2.6,1.1,0.3,0.1,-3.2,-3.6,-9.4,-9.4,-4,-3.5,8.2,7.6,5.6,4.7,-4,-1.4,-4.9,-4.3,2.9,1.5,4.1,4.3
按人口平均計算的本地生產總值 - 以2021年環比物量計算,港元,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
按人口平均計算的本地生產總值 - 以2021年環比物量計算,按年變動百分率,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
經季節性調整的本地生產總值 - 以2021年環比物量計算,按季變動百分率,0.1,1.5,1.6,0.7,-0.1,-2.4,6.1,1.1,2.9,1.8,1.1,2,1.1,3.1,1.9,1.2,2.2,1,1.8,1.6,1.4,1.6,1.9,1.8,1.4,-1.2,-1.1,-2,-3.4,3.6,0.5,2,1.9,1.7,0.9,1.6,2.7,-0.4,0.2,0.5,0.2,0.6,0.8,1.1,0.8,0.4,0.6,0.9,0.9,-0.2,1.5,0.4,0.6,0.6,0.5,0.1,-0.3,1.5,1.1,1.1,0.6,0.9,0.8,1.1,1.4,-0.1,0.2,-0.3,0.7,-0.6,-3.3,-0.4,-4.8,-1.3,2.6,0.3,6.6,-2.1,0.7,-0.2,-2.5,0.4,-2.5,0.3,4.8,-1.1,0.2,0.4
本地生產總值的內含平減物價指數,指數(2021年=100),82.2,82.2,81.1,80.2,78.1,76.9,75.6,75.6,74.6,74.1,73,73.3,73.3,73.8,73.5,74,72.9,73.3,72.6,74.1,74,74.7,75.4,77.8,75.8,76.1,76.9,77.2,76.3,76.1,75.5,76.9,76.9,74.4,76.9,77.4,78.3,78.3,80.2,80.6,81.1,80.5,83.3,83.7,82.6,81.1,85.1,85.7,84.3,84.8,86.8,88.1,88,88.5,89.8,90.5,89.8,89.9,91,91.9,91.9,92.9,93.9,94.4,95.3,96.4,97.4,97.6,97.5,98.5,99.3,99.4,100.2,99.1,99.6,98.5,99.8,99.6,100.3,100.3,100.9,100.4,103.6,101.8,103.2,103.8,106.5,106
本地生產總值的內含平減物價指數,按年變動百分率,-2.7,-2.7,-3.3,-4.7,-4.9,-6.5,-6.8,-5.8,-4.5,-3.6,-3.3,-3.1,-1.8,-0.4,0.6,0.9,-0.5,-0.6,-1.2,0.2,1.5,1.9,3.9,5,2.5,1.9,2,-0.8,0.7,0.0 [φ3],-1.7,-0.4,0.7,-2.2,1.8,0.6,1.9,5.3,4.4,4.1,3.5,2.8,3.9,3.9,1.9,0.8,2.1,2.4,2.1,4.6,2.1,2.7,4.3,4.3,3.4,2.7,2,1.6,1.3,1.6,2.4,3.4,3.2,2.7,3.7,3.8,3.8,3.5,2.3,2.2,2,1.8,2.7,0.6,0.3,-0.9,-0.4,0.5,0.7,1.8,1.1,0.8,3.2,1.5,2.3,3.3,2.9,4.1
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,